Year,Day,UB_FYKE,UB_ARRAY,LB_ARRAY,VA_ARRAY,VL_ARRAY,,
2015,30-Mar,0,0,0,0,0,,
2015,31-Mar,0,0,0,0,0,,
2015,1-Apr,0,0,0,0,0,,
2015,2-Apr,0,0,0,0,0,,
2015,3-Apr,0,0,0,0,0,,
2015,4-Apr,0,0,0,0,0,,
2015,5-Apr,0,0,0,0,0,,
2015,6-Apr,0,0,0,0,0,,
2015,7-Apr,0,0,0,0,0,,
2015,8-Apr,0,0,0,0,0,,
2015,9-Apr,0,0,0,0,0,,
2015,10-Apr,0,0,0,0,0,,
2015,11-Apr,0,0,0,0,0,,
2015,12-Apr,0,0,0,0,0,,
2015,13-Apr,0,0,0,0,0,,
2015,14-Apr,0,0,0,0,0,,
2015,15-Apr,0,0,0,0,0,,
2015,16-Apr,0,0,0,0,0,,
2015,17-Apr,0,0,0,0,0,,
2015,18-Apr,0,0,0,0,0,,
2015,19-Apr,0,0,0,0,0,,
2015,20-Apr,0,0,0,0,0,,
2015,21-Apr,0,0,0,0,0,,
2015,22-Apr,0,0,0,0,0,,
2015,23-Apr,0,0,0,0,0,,
2015,24-Apr,0,0,0,0,0,,
2015,25-Apr,0,0,0,0,0,,
2015,26-Apr,0,0,0,0,0,,
2015,27-Apr,0,0,0,0,0,,
2015,28-Apr,0,0,0,0,0,,
2015,29-Apr,0,0,0,0,0,,
2015,30-Apr,0,0,0,0,0,,
2015,1-May,0,0,0,0,0,,
2015,2-May,0,0,0,0,0,,
2015,3-May,0,0,0,0,0,,
2015,4-May,0,0,0,0,0,,
2015,5-May,0,0,0,0,0,,
2015,6-May,0,0,0,0,0,,
2015,7-May,0,0,0,0,0,,
2015,8-May,0,0,0,0,0,,
2015,9-May,0,0,0,0,0,,
2015,10-May,0,0,0,0,0,,
2015,11-May,0,0,0,0,0,,
2015,12-May,0,0,0,0,0,,
2015,13-May,0,0,0,0,0,,
2015,14-May,0,0,0,0,0,,
2015,15-May,0,0,0,0,0,,
2015,16-May,0,0,0,0,0,,
2015,17-May,0,0,0,0,0,,
2015,18-May,0,0,0,0,0,,
2015,19-May,0,0,0,0,0,,
2015,20-May,0,0,0,0,0,,
2015,21-May,0,0,0,0,0,,
2015,22-May,0,0,0,0,0,,
2015,23-May,0,0,0,0,0,,
2015,24-May,0,0,0,0,0,,
2015,25-May,0,0,0,0,0,,
2015,26-May,0,0,0,0,0,,
2015,27-May,0,0,0,0,0,,
2015,28-May,0,0,0,0,0,,
2015,29-May,0,0,0,0,0,,
2015,30-May,0,0,0,0,0,,
2015,31-May,0,0,0,0,0,,
2015,1-Jun,0,0,0,0,0,,
2015,2-Jun,0,0,0,0,0,,
2015,3-Jun,0,0,0,0,0,,
2015,4-Jun,0,0,0,0,0,,
2015,5-Jun,0,0,0,0,0,,
2015,6-Jun,0,0,0,0,0,,
2015,7-Jun,0,0,0,0,0,,
2015,8-Jun,0,0,0,0,0,,
2015,9-Jun,0,0,0,0,0,,
2015,10-Jun,0,0,0,0,0,,
2015,11-Jun,0,0,0,0,0,,
2015,12-Jun,0,0,0,0,0,,
2015,13-Jun,0,0,0,0,0,,
2015,14-Jun,0,0,0,0,0,,
2015,15-Jun,0,0,0,0,0,,
2015,16-Jun,0,0,0,0,0,,
2015,17-Jun,0,0,0,0,0,,
2015,18-Jun,0,0,0,0,0,,
2015,19-Jun,0,0,0,0,0,,
2015,20-Jun,0,0,0,0,0,,
2015,21-Jun,0,0,0,0,0,,
2015,22-Jun,0,0,0,0,0,,
2015,23-Jun,0,0,0,0,0,,
2015,24-Jun,0,0,0,0,0,,
2015,25-Jun,0,0,0,0,0,,
2015,26-Jun,0,0,0,0,0,,
2015,27-Jun,0,0,0,0,0,,
2015,28-Jun,0,0,0,0,0,,
2015,29-Jun,0,0,0,0,0,,
2015,30-Jun,0,0,0,0,0,,
2016,1-Mar,0,0,0,0,0,,
2016,2-Mar,0,0,0,0,0,,
2016,3-Mar,0,0,0,0,0,,
2016,4-Mar,0,0,0,0,0,,
2016,5-Mar,0,0,0,0,0,,
2016,6-Mar,0,0,0,0,0,,
2016,7-Mar,0,0,0,0,0,,
2016,8-Mar,0,0,0,0,0,,
2016,9-Mar,0,0,0,0,0,,
2016,10-Mar,0,0,0,0,0,,
2016,11-Mar,0,0,0,0,0,,
2016,12-Mar,0,0,0,0,0,,
2016,13-Mar,0,0,0,0,0,,
2016,14-Mar,0,0,0,0,0,,
2016,15-Mar,0,0,0,0,0,,
2016,16-Mar,0,0,0,0,0,,
2016,17-Mar,0,0,0,0,0,,
2016,18-Mar,0,0,0,0,0,,
2016,19-Mar,0,0,0,0,0,,
2016,20-Mar,0,0,0,0,0,,
2016,21-Mar,0,0,0,0,0,,
2016,22-Mar,0,0,0,0,0,,
2016,23-Mar,0,0,0,0,0,,
2016,24-Mar,0,0,0,0,0,,
2016,25-Mar,0,0,0,0,0,,
2016,26-Mar,0,0,0,0,0,,
2016,27-Mar,0,0,0,0,0,,
2016,28-Mar,0,0,0,0,0,,
2016,29-Mar,0,0,0,0,0,,
2016,30-Mar,0,0,0,0,0,,
2016,31-Mar,0,0,0,0,0,,
2016,1-Apr,0,0,0,0,0,,
2016,2-Apr,0,0,0,0,0,,
2016,3-Apr,0,0,0,0,0,,
2016,4-Apr,0,0,0,0,0,,
2016,5-Apr,0,0,0,0,0,,
2016,6-Apr,0,0,0,0,0,,
2016,7-Apr,0,0,0,0,0,,
2016,8-Apr,0,0,0,0,0,,
2016,9-Apr,0,0,0,0,0,,
2016,10-Apr,0,0,0,0,0,,
2016,11-Apr,0,0,0,0,0,,
2016,12-Apr,0,0,0,0,0,,
2016,13-Apr,0,0,0,0,0,,
2016,14-Apr,0,0,0,0,0,,
2016,15-Apr,0,0,0,0,0,,
2016,16-Apr,0,0,0,0,0,,
2016,17-Apr,0,0,0,0,0,,
2016,18-Apr,0,0,0,0,0,,
2016,19-Apr,0.5,0,0,0,0,,
2016,20-Apr,1,0,0,0,0,,
2016,21-Apr,1,0,0,0,0,,
2016,22-Apr,0.5,0,0,0,0,,
2016,23-Apr,0,0,0,0,0,,
2016,24-Apr,0,0,0,0,0,,
2016,25-Apr,0,0,0,0,0,,
2016,26-Apr,0,0,0,0,0,,
2016,27-Apr,0,0,0,0,0,,
2016,28-Apr,0,0,0,0,0,,
2016,29-Apr,0,0,0,0,0,,
2016,30-Apr,0,0,0,0,0,,
2016,1-May,0,0,0,0,0,,
2016,2-May,0,0,0,0,0,,
2016,3-May,0,0,0,0,0,,
2016,4-May,0,0,0,0,0,,
2016,5-May,0,0,0,0,0,,
2016,6-May,0,0,0,0,0,,
2016,7-May,0,0,0,0,0,,
2016,8-May,0,0,0,0,0,,
2016,9-May,0,0,0,0,0,,
2016,10-May,0,0,0,0,0,,
2016,11-May,0,0,0,0,0,,
2016,12-May,0,0,0,0,0,,
2016,13-May,0,0,0,0,0,,
2016,14-May,0,0,0,0,0,,
2016,15-May,0,0,0,0,0,,
2016,16-May,0,0,0,0,0,,
2016,17-May,0,0,0,0,0,,
2016,18-May,0,0,0,0,0,,
2016,19-May,0,0,0,0,0,,
2016,20-May,0,0,0,0,0,,
2016,21-May,0,0,0,0,0,,
2016,22-May,0,0,0,0,0,,
2016,23-May,0,0,0,0,0,,
2016,24-May,0,0,0,0,0,,
2016,25-May,0,0,0,0,0,,
2016,26-May,0,0,0,0,0,,
2016,27-May,0,0,0,0,0,,
2016,28-May,0,0,0,0,0,,
2016,29-May,0,0,0,0,0,,
2016,30-May,0,0,0,0,0,,
2016,31-May,0,0,0,0,0,,
2016,1-Jun,0,0,0,0,0,,
2016,2-Jun,0,0,0,0,0,,
2016,3-Jun,0,0,0,0,0,,
2016,4-Jun,0,0,0,0,0,,
2016,5-Jun,0,0,0,0,0,,
2016,6-Jun,0,0,0,0,0,,
2016,7-Jun,0,0,0,0,0,,
2016,8-Jun,0,0,0,0,0,,
2016,9-Jun,0,0,0,0,0,,
